kode_prov;kode_kab;tahun;q;adhb_or_adhk;status_data;c_pdrb;c_1;c_1a;c_1b;c_1c;c_1d;c_1e;c_1f;c_1g;c_1h;c_1i;c_1j;c_1k;c_1l;c_2;c_3;c_4;c_4a;c_4b;c_5;c_6;c_7
16;00;2011;3;1;3;60377843.72101810;38102722.01790020;18324292.16787180;3111338.85300308;1748374.64198776;2560226.28188192;1305555.66571929;1349498.39653254;2663880.92671571;1395242.57518482;730227.78178344;1299789.17052939;1962980.42065735;1651315.13603304;756036.47654623;5033600.24988940;23267258.30712830;17977369.63470560;5289888.67242266;856368.68015512;18225991.52800260;25864133.53860360
16;00;2011;4;1;3;59327260.95504280;39281130.39783350;19330024.04288570;3347257.85467900;1710240.74639235;2522829.32811490;1313217.74533066;1360044.22023246;2732220.96594256;1411284.41224574;726253.53595641;1287317.42299752;1961920.14510464;1578519.97795156;766306.86002374;5290953.28571059;24740915.20278870;19419425.35456870;5321489.84821999;275687.04098525;18843505.01809500;29871236.85039400
16;00;2011;1;2;3;49013138.96804530;32323229.49805570;15426359.25921910;2575846.83311269;1378556.51030352;2194066.01115857;1143463.35557161;1130879.74651127;2423347.54536540;1265606.89689307;648818.46501564;1091593.20222153;1659989.74874478;1384701.92393852;672488.19035040;3448037.76607835;18926609.89288040;14232850.57726800;4693759.31561232;-1136892.26811738;16807512.39217270;22027846.50337480
16;00;2011;2;2;3;51687500.11974010;32928411.11810060;15618167.99413270;2593143.54494767;1399278.64727391;2246580.15861502;1161088.84960018;1167011.56512902;2460825.87856004;1258851.97104666;677517.30984798;1120179.32320328;1715398.47078280;1510367.40496127;685919.05150740;3979075.10258837;19809044.85508250;14825107.21773280;4983937.63734963;-888498.22784629;16535276.47150160;21361728.25119410
16;00;2011;3;2;3;53623389.86845910;33807408.00768790;16081278.94558810;2642323.50799385;1427761.60293574;2286042.95147196;1184272.22213091;1174219.63339598;2530811.70542512;1278308.27316953;689834.65315125;1147326.43184310;1761660.12474661;1603567.95583582;702724.46037414;4318471.02925433;20975149.69810380;15835290.09941990;5139859.59868394;1236924.44334594;16387274.10823540;23804561.87854240
16;00;2011;4;2;3;52036670.40325600;34265528.42615580;16531770.21025160;2694423.55134094;1434316.10848683;2271266.78981776;1194628.14163399;1175598.47870629;2562175.17741405;1277176.68172745;682547.62238383;1148283.42998954;1759484.83072580;1533857.40367771;693932.50540458;4608910.98407896;20785061.93393330;15553388.04557920;5231673.88835411;618678.77466724;16531030.52706030;25466472.74804430
16;00;2012;1;1;3;60329205.27270400;38928048.70539810;18420462.98050590;3110393.93965859;1742245.36144531;2696764.74811693;1364237.81278835;1471960.71168051;2846941.33222673;1473313.77234093;739417.28808636;1343580.43876553;2080311.77080579;1638418.54897717;747098.24098845;4229634.77083494;22971813.53256720;17351481.77488660;5620331.75768056;6626439.19160748;19768028.62739150;32941857.79608360
16;00;2012;2;1;3;64504466.07240800;40318323.29517730;19761994.05525610;3148405.47559495;1719184.15554769;2705690.26318428;1400695.65961547;1485839.63205159;2836071.32615671;1468978.90303965;735990.79234653;1340390.91096265;2098393.64289385;1616688.47852781;774180.10400527;5588281.36061860;24934386.85949930;19476372.79419340;5458014.06530585;-215533.88519593;19186540.58326900;26081712.24496550
16;00;2012;3;1;3;66002560.25449780;42163183.08797700;20761809.51602890;3344396.36003318;1785889.88222037;2760359.89356785;1450995.04171362;1522209.30138255;2943853.63702333;1495047.73970620;763109.03949631;1443532.95814353;2167497.37954548;1724482.33911570;809044.50588068;4714256.01710600;27127135.24843740;19847835.34864220;7279299.89979522;2350222.00468573;19481418.86044380;30642699.47003290
16;00;2012;4;1;3;62428893.20122600;42607297.71744750;20787110.01150200;3300338.87911086;1858658.36071040;2798696.59423239;1485678.14678112;1600977.02027983;2874091.90782974;1564662.51504540;779961.73008777;1470163.25673381;2226153.50675488;1860805.78837932;843212.44212560;5912834.18644045;28631766.51949610;24802220.33227770;3829546.18721836;1090843.75248223;17844119.63438950;34501181.05115530
16;00;2012;1;2;3;52722696.26502880;34221920.73759960;16531949.91667280;2690648.59873871;1430863.74143427;2267695.29850346;1213904.34231967;1192301.80264339;2602915.34568893;1272003.22838291;679555.43402139;1162744.39857684;1746902.91000608;1430435.72061116;686833.00118186;3746289.40092943;19258139.99279050;14432994.26559080;4825145.72719973;5449419.67530282;17552848.74030190;28192755.28307730
16;00;2012;2;2;3;54873751.88756530;34769514.65340200;16923280.54172580;2695385.42122680;1453156.97996321;2262535.17818718;1230536.51747928;1198804.53331491;2610596.97496052;1285170.29778005;681895.91911634;1189421.85022985;1788031.60500635;1450698.83441179;703957.68190381;4601999.26251502;21162848.22284470;15846137.63260190;5316710.59024276;-94598.09625209;18571073.87332220;24841043.71017030
16;00;2012;3;2;3;58000557.92214520;36235425.98197980;17688570.51814940;2790967.43488706;1504630.06572388;2343946.65447461;1289534.65651556;1244211.15294952;2700526.60537465;1329947.54859249;714969.90560362;1217427.11973333;1837936.28198473;1572758.03799093;726705.88516837;4089313.14972887;21902939.20849290;16398852.18417080;5504087.02432202;2159548.05305958;19409920.27762020;26523294.63390450
16;00;2012;4;2;3;54862192.21160120;36272341.39501860;17562860.37002140;2752528.45808486;1518283.91087865;2355667.66876390;1306664.04375634;1276453.28417103;2636565.57262088;1361566.44831419;729387.85954404;1223471.79138113;1881427.06300285;1667464.92447939;743658.91674596;5013483.23282668;22895967.17587200;17147274.05763650;5748693.11823548;807719.35970266;18467625.98832000;29338603.85688470
16;00;2013;1;1;3;67081560.09626340;44717437.72252110;22684900.37048900;3291397.68592402;1971866.13041172;2880677.36711971;1529074.51487273;1596677.28291207;2624495.30376608;1669601.43631365;794000.96792627;1501094.96085037;2359257.84576887;1814393.85616667;880874.81027808;4656297.73334940;26224722.86051160;21004208.48978650;5220514.37072514;718880.16277279;21047846.39157980;31164499.58474940
16;00;2013;2;1;3;68818784.35135370;46112239.88940960;22926227.05805270;3615874.37855610;1995142.03828416;3149125.38126969;1638545.68348629;1700107.97195076;2735714.17262297;1709316.86686486;849049.92212346;1609297.20320847;2431880.83632796;1751958.37666221;921197.89079415;5235999.28955168;28223783.02683240;22801380.47829290;5422402.54853952;397261.91482952;22893250.94749810;34964948.60756180
16;00;2013;3;1;3;72354441.83480850;48429645.19631080;24092382.98448570;3831310.98464373;2016490.22203653;3261174.40897952;1694520.76848809;1740920.89996867;3135114.10058787;1760795.85420958;878887.66998599;1687562.39908748;2462122.11655849;1868362.78727919;969389.36526682;5628091.15921667;29505502.47992700;23726039.59417130;5779462.88575566;710089.99994567;21925631.85035460;34813908.21621310
16;00;2013;4;1;3;72093677.85236060;49030122.11475840;23721666.62838910;4178673.45861986;2056783.36360351;3326577.60082571;1789808.15495825;1874465.11014527;3196415.91043429;1844535.60848811;907251.79192881;1716174.85187691;2551058.22134469;1866711.41414388;988925.15266096;7022225.45588225;31609397.48597810;26136382.13692620;5473015.34905194;-586202.85121459;21992239.48522510;37963028.99092970
16;00;2013;1;2;3;56301463.43951960;36310495.50667930;17871456.46661960;2795285.14341386;1518961.79375429;2371841.49335261;1324104.87971069;1271064.02257160;2512656.11802716;1348828.13097267;727708.02987225;1225241.25049913;1880571.60902600;1462776.56885942;753424.57757631;3911921.33697523;20570929.16615770;15338595.45162100;5232333.71453663;104379.71186203;21012160.07698110;26361846.93671210
16;00;2013;2;2;3;57754510.60137490;37001853.79009190;18013658.52567950;2874050.04839798;1555436.04585037;2490419.83496242;1379225.76155429;1321450.48970575;2585587.19156578;1364170.82749633;744695.64236272;1263602.27780406;1937886.97800462;1471670.16670810;790006.56912862;4695006.49543970;21976452.92898450;16659633.58429930;5316819.34468517;172368.86534657;22480754.34120360;29361932.38882000
16;00;2013;3;2;3;60422826.27740150;38216976.69683430;18656046.05935030;2973953.00065197;1565049.57977590;2544634.39604824;1410128.12742156;1349743.11046746;2739171.30976945;1430450.16484515;768127.60647583;1308705.72749161;1927956.49492461;1543011.11961219;813180.88579198;4468642.10992414;22955673.92463720;17350647.71077980;5605026.21385741;75829.74238246;21459325.38240290;27566802.46457130
16;00;2013;4;2;3;57696247.51255850;38415936.16839460;18494653.54428340;2995891.46462085;1596367.69861944;2587022.18407689;1431315.70287330;1397390.41785303;2772425.46567493;1456169.89787752;782917.21506020;1306301.00360736;1975475.47504477;1620006.09880291;824021.04050310;5476409.90466093;23757356.75180540;17996259.84488460;5761096.90692079;-1555765.56899613;20548574.18574400;29770284.96955340
